"Package","Version","citation"
"BiocGenerics","0.48.1","To cite package ‘BiocGenerics’ in publications use:    Orchestrating high-throughput genomic analysis with Bioconductor. W. Huber, V.J. Carey, R.   Gentleman, ..., M. Morgan Nature Methods, 2015:12, 115.  A BibTeX entry for LaTeX users is    @Article{,     author = {{Huber} and {W.} and {Carey} and V. J. and {Gentleman} and {R.} and {Anders} and {S.} and {Carlson} and {M.} and {Carvalho} and B. S. and {Bravo} and H. C. and {Davis} and {S.} and {Gatto} and {L.} and {Girke} and {T.} and {Gottardo} and {R.} and {Hahne} and {F.} and {Hansen} and K. D. and {Irizarry} and R. A. and {Lawrence} and {M.} and {Love} and M. I. and {MacDonald} and {J.} and {Obenchain} and {V.} and {{Ole's}} and A. K. and {{Pag`es}} and {H.} and {Reyes} and {A.} and {Shannon} and {P.} and {Smyth} and G. K. and {Tenenbaum} and {D.} and {Waldron} and {L.} and {Morgan} and {M.}},     title = {{O}rchestrating high-throughput genomic analysis with {B}ioconductor},     journal = {Nature Methods},     year = {2015},     volume = {12},     number = {2},     pages = {115--121},     url = {http://www.nature.com/nmeth/journal/v12/n2/full/nmeth.3252.html},   }"
"BiocManager","1.30.26","To cite package ‘BiocManager’ in publications use:    Morgan M, Ramos M (2025). _BiocManager: Access the Bioconductor Project Package Repository_.   R package version 1.30.26, <https://bioconductor.github.io/BiocManager/>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {BiocManager: Access the Bioconductor Project Package Repository},     author = {Martin Morgan and Marcel Ramos},     year = {2025},     note = {R package version 1.30.26},     url = {https://bioconductor.github.io/BiocManager/},   }"
"BiocParallel","1.36.0","To cite package ‘BiocParallel’ in publications use:    Morgan M, Wang J, Obenchain V, Lang M, Thompson R, Turaga N (2023). _BiocParallel:   Bioconductor facilities for parallel evaluation_. doi:10.18129/B9.bioc.BiocParallel   <https://doi.org/10.18129/B9.bioc.BiocParallel>, R package version 1.36.0,   <https://bioconductor.org/packages/BiocParallel>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {BiocParallel: Bioconductor facilities for parallel evaluation},     author = {Martin Morgan and Jiefei Wang and Valerie Obenchain and Michel Lang and Ryan Thompson and Nitesh Turaga},     year = {2023},     note = {R package version 1.36.0},     url = {https://bioconductor.org/packages/BiocParallel},     doi = {10.18129/B9.bioc.BiocParallel},   }"
"BiocVersion","3.18.1","To cite package ‘BiocVersion’ in publications use:    Morgan M (2023). _BiocVersion: Set the appropriate version of Bioconductor packages_.   doi:10.18129/B9.bioc.BiocVersion <https://doi.org/10.18129/B9.bioc.BiocVersion>, R package   version 3.18.1, <https://bioconductor.org/packages/BiocVersion>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {BiocVersion: Set the appropriate version of Bioconductor packages},     author = {Martin Morgan},     year = {2023},     note = {R package version 3.18.1},     url = {https://bioconductor.org/packages/BiocVersion},     doi = {10.18129/B9.bioc.BiocVersion},   }"
"biomformat","1.30.0","To cite package ‘biomformat’ in publications use:    McMurdie PJ, Paulson JN (2023). _biomformat: An interface package for the BIOM file format_.   doi:10.18129/B9.bioc.biomformat <https://doi.org/10.18129/B9.bioc.biomformat>, R package   version 1.30.0, <https://bioconductor.org/packages/biomformat>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {biomformat: An interface package for the BIOM file format},     author = {Paul J. McMurdie and Joseph N Paulson},     year = {2023},     note = {R package version 1.30.0},     url = {https://bioconductor.org/packages/biomformat},     doi = {10.18129/B9.bioc.biomformat},   }  ATTENTION: This citation information has been auto-generated from the package DESCRIPTION file and may need manual editing, see ‘help(""citation"")’."
"Biostrings","2.70.3","To cite package ‘Biostrings’ in publications use:    Pagès H, Aboyoun P, Gentleman R, DebRoy S (2024). _Biostrings: Efficient manipulation of   biological strings_. R package version 2.70.3,   <https://bioconductor.org/packages/Biostrings>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {Biostrings: Efficient manipulation of biological strings},     author = {Hervé Pagès and Patrick Aboyoun and Robert Gentleman and Saikat DebRoy},     year = {2024},     note = {R package version 2.70.3},     url = {https://bioconductor.org/packages/Biostrings},   }"
"bit","4.6.0","To cite package ‘bit’ in publications use:    Chirico M, Oehlschlägel J (2025). _bit: Classes and Methods for Fast Memory-Efficient   Boolean Selections_. R package version 4.6.0, <https://github.com/r-lib/bit>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {bit: Classes and Methods for Fast Memory-Efficient Boolean Selections},     author = {Michael Chirico and Jens Oehlschlägel},     year = {2025},     note = {R package version 4.6.0},     url = {https://github.com/r-lib/bit},   }"
"bit64","4.6.0-1","To cite package ‘bit64’ in publications use:    Chirico M, Oehlschlägel J (2025). _bit64: A S3 Class for Vectors of 64bit Integers_. R   package version 4.6.0-1, <https://github.com/r-lib/bit64>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {bit64: A S3 Class for Vectors of 64bit Integers},     author = {Michael Chirico and Jens Oehlschlägel},     year = {2025},     note = {R package version 4.6.0-1},     url = {https://github.com/r-lib/bit64},   }"
"bitops","1.0-9","To cite package ‘bitops’ in publications use:    Dutky S, Maechler M (2024). _bitops: Bitwise Operations_. R package version 1.0-9,   <https://CRAN.R-project.org/package=bitops>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {bitops: Bitwise Operations},     author = {Steve Dutky and Martin Maechler},     year = {2024},     note = {R package version 1.0-9},     url = {https://CRAN.R-project.org/package=bitops},   }"
"blob","1.2.4","To cite package ‘blob’ in publications use:    Wickham H (2023). _blob: A Simple S3 Class for Representing Vectors of Binary Data   ('BLOBS')_. R package version 1.2.4, https://github.com/tidyverse/blob,   <https://blob.tidyverse.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {blob: A Simple S3 Class for Representing Vectors of Binary Data ('BLOBS')},     author = {Hadley Wickham},     year = {2023},     note = {R package version 1.2.4, https://github.com/tidyverse/blob},     url = {https://blob.tidyverse.org},   }"
