"Package","Version","citation"
"digest","0.6.37","To cite package ‘digest’ in publications use:    Eddelbuettel D (2024). _digest: Create Compact Hash Digests of R Objects_. R package version   0.6.37, https://dirk.eddelbuettel.com/code/digest.html,   <https://github.com/eddelbuettel/digest>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {digest: Create Compact Hash Digests of R Objects},     author = {Dirk Eddelbuettel},     year = {2024},     note = {R package version 0.6.37,  https://dirk.eddelbuettel.com/code/digest.html},     url = {https://github.com/eddelbuettel/digest},   }"
"doBy","4.7.0","To cite package ‘doBy’ in publications use:    Halekoh U, Højsgaard S (2025). _doBy: Groupwise Statistics, LSmeans, Linear Estimates,   Utilities_. R package version 4.7.0, <https://CRAN.R-project.org/package=doBy>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {doBy: Groupwise Statistics, LSmeans, Linear Estimates, Utilities},     author = {Ulrich Halekoh and Søren Højsgaard},     year = {2025},     note = {R package version 4.7.0},     url = {https://CRAN.R-project.org/package=doBy},   }"
"doParallel","1.0.17","To cite package ‘doParallel’ in publications use:    Corporation M, Weston S (2022). _doParallel: Foreach Parallel Adaptor for the 'parallel'   Package_. R package version 1.0.17, <https://github.com/RevolutionAnalytics/doparallel>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {doParallel: Foreach Parallel Adaptor for the 'parallel' Package},     author = {Microsoft Corporation and Steve Weston},     year = {2022},     note = {R package version 1.0.17},     url = {https://github.com/RevolutionAnalytics/doparallel},   }"
"dplyr","1.1.4","To cite package ‘dplyr’ in publications use:    Wickham H, François R, Henry L, Müller K, Vaughan D (2023). _dplyr: A Grammar of Data   Manipulation_. R package version 1.1.4, https://github.com/tidyverse/dplyr,   <https://dplyr.tidyverse.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {dplyr: A Grammar of Data Manipulation},     author = {Hadley Wickham and Romain François and Lionel Henry and Kirill Müller and Davis Vaughan},     year = {2023},     note = {R package version 1.1.4, https://github.com/tidyverse/dplyr},     url = {https://dplyr.tidyverse.org},   }"
"dtplyr","1.3.1","To cite package ‘dtplyr’ in publications use:    Wickham H, Girlich M, Fairbanks M, Dickerson R (2023). _dtplyr: Data Table Back-End for   'dplyr'_. R package version 1.3.1, https://github.com/tidyverse/dtplyr,   <https://dtplyr.tidyverse.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {dtplyr: Data Table Back-End for 'dplyr'},     author = {Hadley Wickham and Maximilian Girlich and Mark Fairbanks and Ryan Dickerson},     year = {2023},     note = {R package version 1.3.1, https://github.com/tidyverse/dtplyr},     url = {https://dtplyr.tidyverse.org},   }"
"ellipse","0.5.0","To cite package ‘ellipse’ in publications use:    Murdoch D, Chow ED (2023). _ellipse: Functions for Drawing Ellipses and Ellipse-Like   Confidence Regions_. R package version 0.5.0, <https://CRAN.R-project.org/package=ellipse>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {ellipse: Functions for Drawing Ellipses and Ellipse-Like Confidence Regions},     author = {Duncan Murdoch and E. D. Chow},     year = {2023},     note = {R package version 0.5.0},     url = {https://CRAN.R-project.org/package=ellipse},   }  ATTENTION: This citation information has been auto-generated from the package DESCRIPTION file and may need manual editing, see ‘help(""citation"")’."
"evaluate","1.0.4","To cite package ‘evaluate’ in publications use:    Wickham H, Xie Y (2025). _evaluate: Parsing and Evaluation Tools that Provide More Details   than the Default_. R package version 1.0.4, https://github.com/r-lib/evaluate,   <https://evaluate.r-lib.org/>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {evaluate: Parsing and Evaluation Tools that Provide More Details than the Default},     author = {Hadley Wickham and Yihui Xie},     year = {2025},     note = {R package version 1.0.4, https://github.com/r-lib/evaluate},     url = {https://evaluate.r-lib.org/},   }"
"farver","2.1.2","To cite package ‘farver’ in publications use:    Pedersen T, Nicolae B, François R (2024). _farver: High Performance Colour Space   Manipulation_. R package version 2.1.2, <https://CRAN.R-project.org/package=farver>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {farver: High Performance Colour Space Manipulation},     author = {Thomas Lin Pedersen and Berendea Nicolae and Romain François},     year = {2024},     note = {R package version 2.1.2},     url = {https://CRAN.R-project.org/package=farver},   }"
"fastmap","1.2.0","To cite package ‘fastmap’ in publications use:    Chang W (2024). _fastmap: Fast Data Structures_. R package version 1.2.0,   https://github.com/r-lib/fastmap, <https://r-lib.github.io/fastmap/>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {fastmap: Fast Data Structures},     author = {Winston Chang},     year = {2024},     note = {R package version 1.2.0, https://github.com/r-lib/fastmap},     url = {https://r-lib.github.io/fastmap/},   }"
"fontawesome","0.5.3","To cite package ‘fontawesome’ in publications use:    Iannone R (2024). _fontawesome: Easily Work with 'Font Awesome' Icons_. R package version   0.5.3, https://rstudio.github.io/fontawesome/, <https://github.com/rstudio/fontawesome>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {fontawesome: Easily Work with 'Font Awesome' Icons},     author = {Richard Iannone},     year = {2024},     note = {R package version 0.5.3,  https://rstudio.github.io/fontawesome/},     url = {https://github.com/rstudio/fontawesome},   }"
"forcats","1.0.0","To cite package ‘forcats’ in publications use:    Wickham H (2023). _forcats: Tools for Working with Categorical Variables (Factors)_. R   package version 1.0.0, https://github.com/tidyverse/forcats,   <https://forcats.tidyverse.org/>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {forcats: Tools for Working with Categorical Variables (Factors)},     author = {Hadley Wickham},     year = {2023},     note = {R package version 1.0.0,  https://github.com/tidyverse/forcats},     url = {https://forcats.tidyverse.org/},   }"
"foreach","1.5.2","To cite package ‘foreach’ in publications use:    Microsoft, Weston S (2022). _foreach: Provides Foreach Looping Construct_. R package version   1.5.2, <https://CRAN.R-project.org/package=foreach>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {foreach: Provides Foreach Looping Construct},     author = {{Microsoft} and Steve Weston},     year = {2022},     note = {R package version 1.5.2},     url = {https://CRAN.R-project.org/package=foreach},   }"
"formatR","1.14","To cite package ‘formatR’ in publications use:    Xie Y (2023). _formatR: Format R Code Automatically_. R package version 1.14,   <https://CRAN.R-project.org/package=formatR>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {formatR: Format R Code Automatically},     author = {Yihui Xie},     year = {2023},     note = {R package version 1.14},     url = {https://CRAN.R-project.org/package=formatR},   }"
"Formula","1.2-5","To cite Formula in publications use:    Zeileis A, Croissant Y (2010). “Extended Model Formulas in R: Multiple Parts and Multiple   Responses.” _Journal of Statistical Software_, *34*(1), 1-13. doi:10.18637/jss.v034.i01   <https://doi.org/10.18637/jss.v034.i01>.  A BibTeX entry for LaTeX users is    @Article{,     title = {Extended Model Formulas in {R}: Multiple Parts and Multiple Responses},     author = {Achim Zeileis and Yves Croissant},     journal = {Journal of Statistical Software},     year = {2010},     volume = {34},     number = {1},     pages = {1--13},     doi = {10.18637/jss.v034.i01},   }"
"fs","1.6.6","To cite package ‘fs’ in publications use:    Hester J, Wickham H, Csárdi G (2025). _fs: Cross-Platform File System Operations Based on   'libuv'_. R package version 1.6.6, https://github.com/r-lib/fs, <https://fs.r-lib.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {fs: Cross-Platform File System Operations Based on 'libuv'},     author = {Jim Hester and Hadley Wickham and Gábor Csárdi},     year = {2025},     note = {R package version 1.6.6, https://github.com/r-lib/fs},     url = {https://fs.r-lib.org},   }"
"futile.logger","1.4.3","To cite package ‘futile.logger’ in publications use:    Rowe BLY (2016). _futile.logger: A Logging Utility for R_. R package version 1.4.3,   <https://CRAN.R-project.org/package=futile.logger>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {futile.logger: A Logging Utility for R},     author = {Brian Lee Yung Rowe},     year = {2016},     note = {R package version 1.4.3},     url = {https://CRAN.R-project.org/package=futile.logger},   }  ATTENTION: This citation information has been auto-generated from the package DESCRIPTION file and may need manual editing, see ‘help(""citation"")’."
"futile.options","1.0.1","To cite package ‘futile.options’ in publications use:    Rowe BLY (2018). _futile.options: Futile Options Management_. R package version 1.0.1,   <https://CRAN.R-project.org/package=futile.options>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {futile.options: Futile Options Management},     author = {Brian Lee Yung Rowe},     year = {2018},     note = {R package version 1.0.1},     url = {https://CRAN.R-project.org/package=futile.options},   }  ATTENTION: This citation information has been auto-generated from the package DESCRIPTION file and may need manual editing, see ‘help(""citation"")’."
"gargle","1.5.2","To cite package ‘gargle’ in publications use:    Bryan J, Citro C, Wickham H (2023). _gargle: Utilities for Working with Google APIs_. R   package version 1.5.2, https://github.com/r-lib/gargle, <https://gargle.r-lib.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {gargle: Utilities for Working with Google APIs},     author = {Jennifer Bryan and Craig Citro and Hadley Wickham},     year = {2023},     note = {R package version 1.5.2, https://github.com/r-lib/gargle},     url = {https://gargle.r-lib.org},   }"
"generics","0.1.4","To cite package ‘generics’ in publications use:    Wickham H, Kuhn M, Vaughan D (2025). _generics: Common S3 Generics not Provided by Base R   Methods Related to Model Fitting_. R package version 0.1.4,   https://github.com/r-lib/generics, <https://generics.r-lib.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {generics: Common S3 Generics not Provided by Base R Methods Related to Model Fitting},     author = {Hadley Wickham and Max Kuhn and Davis Vaughan},     year = {2025},     note = {R package version 0.1.4, https://github.com/r-lib/generics},     url = {https://generics.r-lib.org},   }"
"GenomeInfoDb","1.38.8","To cite package ‘GenomeInfoDb’ in publications use:    Arora S, Morgan M, Carlson M, Pagès H (2024). _GenomeInfoDb: Utilities for manipulating   chromosome names, including modifying them to follow a particular naming style_. R package   version 1.38.8, <https://bioconductor.org/packages/GenomeInfoDb>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {GenomeInfoDb: Utilities for manipulating chromosome names, including modifying them to follow a particular naming style},     author = {Sonali Arora and Martin Morgan and Marc Carlson and Hervé Pagès},     year = {2024},     note = {R package version 1.38.8},     url = {https://bioconductor.org/packages/GenomeInfoDb},   }"
"GenomeInfoDbData","1.2.11","To cite package ‘GenomeInfoDbData’ in publications use:    Team BC (2023). _GenomeInfoDbData: Species and taxonomy ID look up tables used by   GenomeInfoDb_. R package version 1.2.11.  A BibTeX entry for LaTeX users is    @Manual{,     title = {GenomeInfoDbData: Species and taxonomy ID look up tables used by GenomeInfoDb},     author = {Bioconductor Core Team},     year = {2023},     note = {R package version 1.2.11},   }  ATTENTION: This citation information has been auto-generated from the package DESCRIPTION file and may need manual editing, see ‘help(""citation"")’."
"GenomicRanges","1.54.1","To cite package ‘GenomicRanges’ in publications use:    Lawrence M, Huber W, Pag\`es H, Aboyoun P, Carlson M, et al. (2013) Software for Computing   and Annotating Genomic Ranges. PLoS Comput Biol 9(8): e1003118.   doi:10.1371/journal.pcbi.1003118  A BibTeX entry for LaTeX users is    @Article{,     title = {Software for Computing and Annotating Genomic Ranges},     author = {Michael Lawrence and Wolfgang Huber and Herv\'e Pag\`es and Patrick Aboyoun and Marc Carlson and Robert Gentleman and Martin Morgan and Vincent Carey},     year = {2013},     journal = {{PLoS} Computational Biology},     volume = {9},     issue = {8},     doi = {10.1371/journal.pcbi.1003118},     url = {http://www.ploscompbiol.org/article/info%3Adoi%2F10.1371%2Fjournal.pcbi.1003118},   }"
"GetoptLong","1.1.0","To cite package ‘GetoptLong’ in publications use:    Gu Z (2025). _GetoptLong: Parsing Command-Line Arguments and Simple Variable Interpolation_.   R package version 1.1.0, <https://CRAN.R-project.org/package=GetoptLong>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {GetoptLong: Parsing Command-Line Arguments and Simple Variable Interpolation},     author = {Zuguang Gu},     year = {2025},     note = {R package version 1.1.0},     url = {https://CRAN.R-project.org/package=GetoptLong},   }"
"ggbeeswarm","0.7.3","To cite package ‘ggbeeswarm’ in publications use:    Clarke E, Sherrill-Mix S, Dawson C (2025). _ggbeeswarm: Categorical Scatter (Violin Point)   Plots_. R package version 0.7.3, <https://CRAN.R-project.org/package=ggbeeswarm>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {ggbeeswarm: Categorical Scatter (Violin Point) Plots},     author = {Erik Clarke and Scott Sherrill-Mix and Charlotte Dawson},     year = {2025},     note = {R package version 0.7.3},     url = {https://CRAN.R-project.org/package=ggbeeswarm},   }"
"ggforce","0.5.0","To cite package ‘ggforce’ in publications use:    Pedersen T (2025). _ggforce: Accelerating 'ggplot2'_. R package version 0.5.0,   https://github.com/thomasp85/ggforce, <https://ggforce.data-imaginist.com>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {ggforce: Accelerating 'ggplot2'},     author = {Thomas Lin Pedersen},     year = {2025},     note = {R package version 0.5.0,  https://github.com/thomasp85/ggforce},     url = {https://ggforce.data-imaginist.com},   }"
"ggplot2","3.5.2","To cite ggplot2 in publications, please use    H. Wickham. ggplot2: Elegant Graphics for Data Analysis. Springer-Verlag New York, 2016.  A BibTeX entry for LaTeX users is    @Book{,     author = {Hadley Wickham},     title = {ggplot2: Elegant Graphics for Data Analysis},     publisher = {Springer-Verlag New York},     year = {2016},     isbn = {978-3-319-24277-4},     url = {https://ggplot2.tidyverse.org},   }"
"ggpubr","0.6.1","To cite package ‘ggpubr’ in publications use:    Kassambara A (2025). _ggpubr: 'ggplot2' Based Publication Ready Plots_. R package version   0.6.1, <https://CRAN.R-project.org/package=ggpubr>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {ggpubr: 'ggplot2' Based Publication Ready Plots},     author = {Alboukadel Kassambara},     year = {2025},     note = {R package version 0.6.1},     url = {https://CRAN.R-project.org/package=ggpubr},   }"
"ggrepel","0.9.6","To cite package ‘ggrepel’ in publications use:    Slowikowski K (2024). _ggrepel: Automatically Position Non-Overlapping Text Labels with   'ggplot2'_. R package version 0.9.6, https://github.com/slowkow/ggrepel,   <https://ggrepel.slowkow.com/>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {ggrepel: Automatically Position Non-Overlapping Text Labels with 'ggplot2'},     author = {Kamil Slowikowski},     year = {2024},     note = {R package version 0.9.6, https://github.com/slowkow/ggrepel},     url = {https://ggrepel.slowkow.com/},   }"
"ggsci","3.2.0","To cite package ‘ggsci’ in publications use:    Xiao N (2024). _ggsci: Scientific Journal and Sci-Fi Themed Color Palettes for 'ggplot2'_. R   package version 3.2.0, <https://CRAN.R-project.org/package=ggsci>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {ggsci: Scientific Journal and Sci-Fi Themed Color Palettes for 'ggplot2'},     author = {Nan Xiao},     year = {2024},     note = {R package version 3.2.0},     url = {https://CRAN.R-project.org/package=ggsci},   }"
"ggsignif","0.6.4","To cite 'ggsignif' in publications use:    Ahlmann-Eltze, C., & Patil, I. (2021). ggsignif: R Package for Displaying Significance   Brackets for 'ggplot2'. PsyArxiv. doi:10.31234/osf.io/7awm6  A BibTeX entry for LaTeX users is    @Article{,     title = {{ggsignif}: R Package for Displaying Significance Brackets for {'ggplot2'}},     author = {Ahlmann-Eltze Constantin and Indrajeet Patil},     year = {2021},     journal = {PsyArxiv},     url = {https://psyarxiv.com/7awm6},     doi = {10.31234/osf.io/7awm6},   }"
"ggthemes","5.1.0","To cite package ‘ggthemes’ in publications use:    Arnold J (2024). _ggthemes: Extra Themes, Scales and Geoms for 'ggplot2'_. R package version   5.1.0, <https://CRAN.R-project.org/package=ggthemes>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {ggthemes: Extra Themes, Scales and Geoms for 'ggplot2'},     author = {Jeffrey B. Arnold},     year = {2024},     note = {R package version 5.1.0},     url = {https://CRAN.R-project.org/package=ggthemes},   }"
"GlobalOptions","0.1.3","To cite package ‘GlobalOptions’ in publications use:    Gu Z (2025). _GlobalOptions: Generate Functions to Get or Set Global Options_. R package   version 0.1.3, <https://CRAN.R-project.org/package=GlobalOptions>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {GlobalOptions: Generate Functions to Get or Set Global Options},     author = {Zuguang Gu},     year = {2025},     note = {R package version 0.1.3},     url = {https://CRAN.R-project.org/package=GlobalOptions},   }"
"glue","1.8.0","To cite package ‘glue’ in publications use:    Hester J, Bryan J (2024). _glue: Interpreted String Literals_. R package version 1.8.0,   https://github.com/tidyverse/glue, <https://glue.tidyverse.org/>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {glue: Interpreted String Literals},     author = {Jim Hester and Jennifer Bryan},     year = {2024},     note = {R package version 1.8.0, https://github.com/tidyverse/glue},     url = {https://glue.tidyverse.org/},   }"
"googledrive","2.1.1","To cite package ‘googledrive’ in publications use:    D'Agostino McGowan L, Bryan J (2023). _googledrive: An Interface to Google Drive_. R package   version 2.1.1, https://github.com/tidyverse/googledrive,   <https://googledrive.tidyverse.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {googledrive: An Interface to Google Drive},     author = {Lucy {D'Agostino McGowan} and Jennifer Bryan},     year = {2023},     note = {R package version 2.1.1,  https://github.com/tidyverse/googledrive},     url = {https://googledrive.tidyverse.org},   }"
"googlesheets4","1.1.1","To cite package ‘googlesheets4’ in publications use:    Bryan J (2023). _googlesheets4: Access Google Sheets using the Sheets API V4_. R package   version 1.1.1, https://github.com/tidyverse/googlesheets4,   <https://googlesheets4.tidyverse.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {googlesheets4: Access Google Sheets using the Sheets API V4},     author = {Jennifer Bryan},     year = {2023},     note = {R package version 1.1.1,  https://github.com/tidyverse/googlesheets4},     url = {https://googlesheets4.tidyverse.org},   }"
"gridExtra","2.3","To cite package ‘gridExtra’ in publications use:    Auguie B (2017). _gridExtra: Miscellaneous Functions for ""Grid"" Graphics_. R package version   2.3.  A BibTeX entry for LaTeX users is    @Manual{,     title = {gridExtra: Miscellaneous Functions for ""Grid"" Graphics},     author = {Baptiste Auguie},     year = {2017},     note = {R package version 2.3},   }"
"gtable","0.3.6","To cite package ‘gtable’ in publications use:    Wickham H, Pedersen T (2024). _gtable: Arrange 'Grobs' in Tables_. R package version 0.3.6,   <https://CRAN.R-project.org/package=gtable>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {gtable: Arrange 'Grobs' in Tables},     author = {Hadley Wickham and Thomas Lin Pedersen},     year = {2024},     note = {R package version 0.3.6},     url = {https://CRAN.R-project.org/package=gtable},   }"
"haven","2.5.5","To cite package ‘haven’ in publications use:    Wickham H, Miller E, Smith D (2025). _haven: Import and Export 'SPSS', 'Stata' and 'SAS'   Files_. R package version 2.5.5, https://github.com/tidyverse/haven,   https://github.com/WizardMac/ReadStat, <https://haven.tidyverse.org>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {haven: Import and Export 'SPSS', 'Stata' and 'SAS' Files},     author = {Hadley Wickham and Evan Miller and Danny Smith},     year = {2025},     note = {R package version 2.5.5, https://github.com/tidyverse/haven, https://github.com/WizardMac/ReadStat},     url = {https://haven.tidyverse.org},   }"
"highr","0.11","To cite package ‘highr’ in publications use:    Xie Y, Qiu Y (2024). _highr: Syntax Highlighting for R Source Code_. R package version 0.11,   <https://github.com/yihui/highr>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {highr: Syntax Highlighting for R Source Code},     author = {Yihui Xie and Yixuan Qiu},     year = {2024},     note = {R package version 0.11},     url = {https://github.com/yihui/highr},   }"
"Hmisc","5.2-3","To cite package ‘Hmisc’ in publications use:    Harrell Jr F (2025). _Hmisc: Harrell Miscellaneous_. R package version 5.2-3,   <https://CRAN.R-project.org/package=Hmisc>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {Hmisc: Harrell Miscellaneous},     author = {Frank E {Harrell Jr}},     year = {2025},     note = {R package version 5.2-3},     url = {https://CRAN.R-project.org/package=Hmisc},   }"
"hms","1.1.3","To cite package ‘hms’ in publications use:    Müller K (2023). _hms: Pretty Time of Day_. R package version 1.1.3,   https://github.com/tidyverse/hms, <https://hms.tidyverse.org/>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {hms: Pretty Time of Day},     author = {Kirill Müller},     year = {2023},     note = {R package version 1.1.3, https://github.com/tidyverse/hms},     url = {https://hms.tidyverse.org/},   }"
"htmlTable","2.4.3","To cite package ‘htmlTable’ in publications use:    Gordon M, Gragg S, Konings P (2024). _htmlTable: Advanced Tables for Markdown/HTML_. R   package version 2.4.3, <https://CRAN.R-project.org/package=htmlTable>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {htmlTable: Advanced Tables for Markdown/HTML},     author = {Max Gordon and Stephen Gragg and Peter Konings},     year = {2024},     note = {R package version 2.4.3},     url = {https://CRAN.R-project.org/package=htmlTable},   }"
"htmltools","0.5.8.1","To cite package ‘htmltools’ in publications use:    Cheng J, Sievert C, Schloerke B, Chang W, Xie Y, Allen J (2024). _htmltools: Tools for   HTML_. R package version 0.5.8.1, https://rstudio.github.io/htmltools/,   <https://github.com/rstudio/htmltools>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {htmltools: Tools for HTML},     author = {Joe Cheng and Carson Sievert and Barret Schloerke and Winston Chang and Yihui Xie and Jeff Allen},     year = {2024},     note = {R package version 0.5.8.1,  https://rstudio.github.io/htmltools/},     url = {https://github.com/rstudio/htmltools},   }"
"htmlwidgets","1.6.4","To cite package ‘htmlwidgets’ in publications use:    Vaidyanathan R, Xie Y, Allaire J, Cheng J, Sievert C, Russell K (2023). _htmlwidgets: HTML   Widgets for R_. R package version 1.6.4, <https://CRAN.R-project.org/package=htmlwidgets>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {htmlwidgets: HTML Widgets for R},     author = {Ramnath Vaidyanathan and Yihui Xie and JJ Allaire and Joe Cheng and Carson Sievert and Kenton Russell},     year = {2023},     note = {R package version 1.6.4},     url = {https://CRAN.R-project.org/package=htmlwidgets},   }"
"httr","1.4.7","To cite package ‘httr’ in publications use:    Wickham H (2023). _httr: Tools for Working with URLs and HTTP_. R package version 1.4.7,   https://github.com/r-lib/httr, <https://httr.r-lib.org/>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {httr: Tools for Working with URLs and HTTP},     author = {Hadley Wickham},     year = {2023},     note = {R package version 1.4.7, https://github.com/r-lib/httr},     url = {https://httr.r-lib.org/},   }"
"ids","1.0.1","To cite package ‘ids’ in publications use:    FitzJohn R (2017). _ids: Generate Random Identifiers_. R package version 1.0.1,   <https://github.com/richfitz/ids>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {ids: Generate Random Identifiers},     author = {Rich FitzJohn},     year = {2017},     note = {R package version 1.0.1},     url = {https://github.com/richfitz/ids},   }"
"igraph","2.1.4","To cite 'igraph' in publications use:    Csardi G, Nepusz T (2006). “The igraph software package for complex network research.”   _InterJournal_, *Complex Systems*, 1695. <https://igraph.org>.  Csárdi G, Nepusz T, Traag V, Horvát Sz, Zanini F, Noom D, Müller K (2026). _igraph: Network Analysis and Visualization in R_. doi:10.5281/zenodo.7682609 <https://doi.org/10.5281/zenodo.7682609>, R package version 2.1.4, <https://CRAN.R-project.org/package=igraph>.  To see these entries in BibTeX format, use 'print(<citation>, bibtex=TRUE)', 'toBibtex(.)', or set 'options(citation.bibtex.max=999)'."
"IRanges","2.36.0","To cite package ‘IRanges’ in publications use:    Lawrence M, Huber W, Pag\`es H, Aboyoun P, Carlson M, et al. (2013) Software for Computing   and Annotating Genomic Ranges. PLoS Comput Biol 9(8): e1003118.   doi:10.1371/journal.pcbi.1003118  A BibTeX entry for LaTeX users is    @Article{,     title = {Software for Computing and Annotating Genomic Ranges},     author = {Michael Lawrence and Wolfgang Huber and Herv\'e Pag\`es and Patrick Aboyoun and Marc Carlson and Robert Gentleman and Martin Morgan and Vincent Carey},     year = {2013},     journal = {{PLoS} Computational Biology},     volume = {9},     issue = {8},     doi = {10.1371/journal.pcbi.1003118},     url = {http://www.ploscompbiol.org/article/info%3Adoi%2F10.1371%2Fjournal.pcbi.1003118},   }"
"isoband","0.2.7","To cite package ‘isoband’ in publications use:    Wickham H, Wilke C, Pedersen T (2022). _isoband: Generate Isolines and Isobands from   Regularly Spaced Elevation Grids_. R package version 0.2.7,   <https://CRAN.R-project.org/package=isoband>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {isoband: Generate Isolines and Isobands from Regularly Spaced Elevation Grids},     author = {Hadley Wickham and Claus O. Wilke and Thomas Lin Pedersen},     year = {2022},     note = {R package version 0.2.7},     url = {https://CRAN.R-project.org/package=isoband},   }"
"iterators","1.0.14","To cite package ‘iterators’ in publications use:    Analytics R, Weston S (2022). _iterators: Provides Iterator Construct_. R package version   1.0.14, <https://CRAN.R-project.org/package=iterators>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {iterators: Provides Iterator Construct},     author = {Revolution Analytics and Steve Weston},     year = {2022},     note = {R package version 1.0.14},     url = {https://CRAN.R-project.org/package=iterators},   }"
"jquerylib","0.1.4","To cite package ‘jquerylib’ in publications use:    Sievert C, Cheng J (2021). _jquerylib: Obtain 'jQuery' as an HTML Dependency Object_. R   package version 0.1.4.  A BibTeX entry for LaTeX users is    @Manual{,     title = {jquerylib: Obtain 'jQuery' as an HTML Dependency Object},     author = {Carson Sievert and Joe Cheng},     year = {2021},     note = {R package version 0.1.4},   }"
"jsonlite","2.0.0","To cite jsonlite in publications use:    Ooms J (2014). “The jsonlite Package: A Practical and Consistent Mapping Between JSON Data   and R Objects.” _arXiv:1403.2805 [stat.CO]_. <https://arxiv.org/abs/1403.2805>.  A BibTeX entry for LaTeX users is    @Article{,     title = {The jsonlite Package: A Practical and Consistent Mapping Between JSON Data and R Objects},     author = {Jeroen Ooms},     journal = {arXiv:1403.2805 [stat.CO]},     year = {2014},     url = {https://arxiv.org/abs/1403.2805},   }"
"knitr","1.50","To cite package ‘knitr’ in publications use:    Xie Y (2025). _knitr: A General-Purpose Package for Dynamic Report Generation in R_. R   package version 1.50, <https://yihui.org/knitr/>.    Yihui Xie (2015) Dynamic Documents with R and knitr. 2nd edition. Chapman and Hall/CRC. ISBN   978-1498716963    Yihui Xie (2014) knitr: A Comprehensive Tool for Reproducible Research in R. In Victoria   Stodden, Friedrich Leisch and Roger D. Peng, editors, Implementing Reproducible   Computational Research. Chapman and Hall/CRC. ISBN 978-1466561595  To see these entries in BibTeX format, use 'print(<citation>, bibtex=TRUE)', 'toBibtex(.)', or set 'options(citation.bibtex.max=999)'."
"labeling","0.4.3","To cite package ‘labeling’ in publications use:    Talbot, J (2023). _labeling: Axis Labeling_. R package version 0.4.3,   <https://CRAN.R-project.org/package=labeling>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {labeling: Axis Labeling},     author = {Justin Talbot,},     year = {2023},     note = {R package version 0.4.3},     url = {https://CRAN.R-project.org/package=labeling},   }  ATTENTION: This citation information has been auto-generated from the package DESCRIPTION file and may need manual editing, see ‘help(""citation"")’."
"lambda.r","1.2.4","To cite package ‘lambda.r’ in publications use:    Rowe BLY (2019). _lambda.r: Modeling Data with Functional Programming_. R package version   1.2.4, <https://CRAN.R-project.org/package=lambda.r>.  A BibTeX entry for LaTeX users is    @Manual{,     title = {lambda.r: Modeling Data with Functional Programming},     author = {Brian Lee Yung Rowe},     year = {2019},     note = {R package version 1.2.4},     url = {https://CRAN.R-project.org/package=lambda.r},   }  ATTENTION: This citation information has been auto-generated from the package DESCRIPTION file and may need manual editing, see ‘help(""citation"")’."
"lattice","0.22-7","To cite package ‘lattice’ in publications use:    Sarkar D (2008). _Lattice: Multivariate Data Visualization with R_. Springer, New York. ISBN   978-0-387-75968-5, <http://lmdvr.r-forge.r-project.org>.  A BibTeX entry for LaTeX users is    @Book{,     title = {Lattice: Multivariate Data Visualization with R},     author = {Deepayan Sarkar},     year = {2008},     publisher = {Springer},     address = {New York},     isbn = {978-0-387-75968-5},     url = {http://lmdvr.r-forge.r-project.org},   }"
